system,query_id,hop,n_facts,n_facts_ind,n_facts_dep,n_traps,n_traps_ind,n_traps_dep,n_traps_schema,n_traps_missingdetail,facts_recalled,traps_acknowledged,fr_pct,uaa_pct,duration_s
UNBB,N13,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,25.88
UNBB,N14,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,20.3
UNBB,N15,single,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,17.51
UNBB,N16,single,3,3,0,1,1,0,0,1,2.0,1.0,66.7,100.0,13.02
UNBB,N17,single,2,2,0,1,1,0,0,1,0.0,1.0,0.0,100.0,13.36
UNBB,N18,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,12.64
UNBB,N19,single,2,2,0,1,1,0,1,0,0.0,1.0,0.0,100.0,14.81
UNBB,N20,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,20.99
UNBB,N21,single,1,1,0,1,1,0,0,1,1.0,1.0,100.0,100.0,10.96
UNBB,N22,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,14.69
UNBB,N23,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,11.75
UNBB,N24,single,2,2,0,1,1,0,0,1,2.0,1.0,100.0,100.0,11.76
UNBB,N25,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,17.88
UNBB,N26,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,18.71
UNBB,N27,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,17.85
UNBB,N28,single,4,4,0,0,0,0,0,0,1.0,0,25.0,,15.57
UNBB,N29,single,3,3,0,0,0,0,0,0,0.0,0,0.0,,20.66
UNBB,N30,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,20.65
UNBB,N31,single,3,3,0,1,1,0,0,1,2.0,0.0,66.7,0.0,15.76
UNBB,N32,single,3,3,0,1,1,0,1,0,1.0,1.0,33.3,100.0,21.66
UNBB,N33,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,18.45
UNBB,N34,single,4,4,0,0,0,0,0,0,2.0,0,50.0,,22.09
UNBB,N35,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,16.43
UNBB,D1,single,2,2,0,0,0,0,0,0,0.0,0,0.0,,13.0
UNBB,D2,single,3,3,0,0,0,0,0,0,0.0,0,0.0,,13.32
UNBB,D3,single,1,1,0,1,1,0,1,0,0.0,0.0,0.0,0.0,18.37
UNBB,D4,single,3,3,0,0,0,0,0,0,1.0,0,33.3,,14.74
UNBB,D5,single,2,2,0,1,1,0,1,0,0.0,1.0,0.0,100.0,14.42
UNBB,N41,multi,1,0,1,0,0,0,0,0,1.0,0,100.0,,13.68
UNBB,N42,multi,1,0,1,3,0,3,3,0,0.0,1.0,0.0,33.3,10.7
UNBB,N43,multi,2,0,2,0,0,0,0,0,2.0,0,100.0,,10.91
UNBB,N44,multi,2,0,2,1,0,1,1,0,0.0,0.0,0.0,0.0,15.16
UNBB,N45,multi,1,0,1,0,0,0,0,0,0.0,0,0.0,,13.02
UNBB,N46,multi,2,0,2,1,0,1,1,0,2.0,0.0,100.0,0.0,12.06
UNBB,N47,multi,2,0,2,2,0,2,2,0,0.0,2.0,0.0,100.0,16.57
UNBB,N48,multi,3,0,3,0,0,0,0,0,3.0,0,100.0,,11.89
UNBB,N49,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,17.55
UNBB,N50,multi,1,0,1,1,0,1,1,0,0.0,1.0,0.0,100.0,18.3
UNBB,N51,multi,2,0,2,0,0,0,0,0,1.0,0,50.0,,11.14
UNBB,N52,multi,2,0,2,1,0,1,1,0,1.0,0.0,50.0,0.0,14.16
UNBB,N53,multi,3,0,3,0,0,0,0,0,2.0,0,66.7,,12.65
UNBB,N54,multi,2,0,2,2,0,2,2,0,0.0,0.0,0.0,0.0,18.42
UNBB,N55,multi,1,0,1,2,0,2,2,0,0.0,2.0,0.0,100.0,13.29
SA,N1,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,
SA,N2,single,2,2,0,1,1,0,1,0,2.0,0.0,100.0,0.0,
SA,N3,single,1,1,0,0,0,0,0,0,0.0,0,0.0,,
SA,N4,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,
SA,N5,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,
SA,N6,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,
SA,N7,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N8,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
SA,N9,single,1,1,0,1,1,0,1,0,1.0,0.0,100.0,0.0,
SA,N10,single,3,3,0,0,0,0,0,0,2.0,0,66.7,,
SA,N11,single,2,2,0,0,0,0,0,0,1.0,0,50.0,,
SA,N12,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N13,single,1,1,0,0,0,0,0,0,1.0,0,100.0,,
SA,N14,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
SA,N15,single,1,1,0,1,1,0,1,0,1.0,0.0,100.0,0.0,
SA,N16,single,3,3,0,1,1,0,0,1,2.0,1.0,66.7,100.0,
SA,N17,single,2,2,0,1,1,0,0,1,1.0,1.0,50.0,100.0,
SA,N18,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N19,single,2,2,0,1,1,0,1,0,2.0,0.0,100.0,0.0,
SA,N20,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N21,single,1,1,0,1,1,0,0,1,1.0,1.0,100.0,100.0,
SA,N22,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
SA,N23,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N24,single,2,2,0,1,1,0,0,1,2.0,1.0,100.0,100.0,
SA,N25,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N26,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N27,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N28,single,4,4,0,0,0,0,0,0,4.0,0,100.0,,
SA,N29,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N30,single,2,2,0,0,0,0,0,0,2.0,0,100.0,,
SA,N31,single,3,3,0,1,1,0,0,1,3.0,0.0,100.0,0.0,
SA,N32,single,3,3,0,1,1,0,1,0,3.0,0.0,100.0,0.0,
SA,N33,single,3,3,0,0,0,0,0,0,3.0,0,100.0,,
SA,N34,single,4,4,0,0,0,0,0,0,4.0,0,100.0,,
